city,year,population
Población de Hecho: Beniparrell,1900,503
Población de Hecho: Benirredrà,1991,901
Población de Hecho: Benirredrà,1981,848
Población de Hecho: Benirredrà,1970,950
Población de Hecho: Benirredrà,1960,938
Población de Hecho: Benirredrà,1950,816
Población de Hecho: Benirredrà,1940,834
Población de Hecho: Benirredrà,1930,1002
Población de Hecho: Benirredrà,1920,651
Población de Hecho: Benirredrà,1910,681
Población de Hecho: Benirredrà,1900,563
Población de Hecho: Benisanó,1991,1643
Población de Hecho: Benisanó,1981,1611
Población de Hecho: Benisanó,1970,1347
Población de Hecho: Benisanó,1960,1204
